"","P_DZIEDZINA","P_ROKDYP","dosw","P_WOJ","WOJ_NAME","sredni_czas"
"1"," nauk humanistycznych",2014,"Nie",2,"dolnośląskie",12.8891525423729
"2"," nauk humanistycznych",2014,"Nie",4,"kujawsko-pomorskie",12.5802
"3"," nauk humanistycznych",2014,"Nie",6,"lubelskie",16.1994444444444
"4"," nauk humanistycznych",2014,"Nie",8,"lubuskie",15.5822222222222
"5"," nauk humanistycznych",2014,"Nie",10,"łódzkie",12.3234146341463
"6"," nauk humanistycznych",2014,"Nie",12,"małopolskie",12.9391428571429
"7"," nauk humanistycznych",2014,"Nie",14,"mazowieckie",13.8902380952381
"8"," nauk humanistycznych",2014,"Nie",16,"opolskie",10.7594736842105
"9"," nauk humanistycznych",2014,"Nie",18,"podkarpackie",15.77
"10"," nauk humanistycznych",2014,"Nie",20,"podlaskie",12.2757142857143
"11"," nauk humanistycznych",2014,"Nie",22,"pomorskie",14.1657142857143
"12"," nauk humanistycznych",2014,"Nie",24,"śląskie",12.7730434782609
"13"," nauk humanistycznych",2014,"Nie",26,"świętokrzyskie",15.0433333333333
"14"," nauk humanistycznych",2014,"Nie",28,"warmińsko-mazurskie",14.1923529411765
"15"," nauk humanistycznych",2014,"Nie",30,"wielkopolskie",13.7786440677966
"16"," nauk humanistycznych",2014,"Nie",32,"zachodniopomorskie",8.673
"17"," nauk humanistycznych",2014,"Tak",2,"dolnośląskie",0.990212765957447
"18"," nauk humanistycznych",2014,"Tak",4,"kujawsko-pomorskie",0.684473684210526
"19"," nauk humanistycznych",2014,"Tak",6,"lubelskie",0.5715
"20"," nauk humanistycznych",2014,"Tak",8,"lubuskie",1.25
"21"," nauk humanistycznych",2014,"Tak",10,"łódzkie",2.41972222222222
"22"," nauk humanistycznych",2014,"Tak",12,"małopolskie",1.07976744186047
"23"," nauk humanistycznych",2014,"Tak",14,"mazowieckie",1.95009708737864
"24"," nauk humanistycznych",2014,"Tak",16,"opolskie",1.81055555555556
"25"," nauk humanistycznych",2014,"Tak",18,"podkarpackie",1.84
"26"," nauk humanistycznych",2014,"Tak",20,"podlaskie",1.99222222222222
"27"," nauk humanistycznych",2014,"Tak",22,"pomorskie",2.03483870967742
"28"," nauk humanistycznych",2014,"Tak",24,"śląskie",1.89827586206897
"29"," nauk humanistycznych",2014,"Tak",26,"świętokrzyskie",2.47125
"30"," nauk humanistycznych",2014,"Tak",28,"warmińsko-mazurskie",2.22
"31"," nauk humanistycznych",2014,"Tak",30,"wielkopolskie",2.44884615384615
"32"," nauk humanistycznych",2014,"Tak",32,"zachodniopomorskie",1.89666666666667
"33"," nauk humanistycznych",2015,"Nie",2,"dolnośląskie",12.8322222222222
"34"," nauk humanistycznych",2015,"Nie",4,"kujawsko-pomorskie",13.55375
"35"," nauk humanistycznych",2015,"Nie",6,"lubelskie",14.6761904761905
"36"," nauk humanistycznych",2015,"Nie",8,"lubuskie",12.1542857142857
"37"," nauk humanistycznych",2015,"Nie",10,"łódzkie",14.6955319148936
"38"," nauk humanistycznych",2015,"Nie",12,"małopolskie",13.4070769230769
"39"," nauk humanistycznych",2015,"Nie",14,"mazowieckie",12.9775
"40"," nauk humanistycznych",2015,"Nie",16,"opolskie",11.9561111111111
"41"," nauk humanistycznych",2015,"Nie",18,"podkarpackie",14.7279166666667
"42"," nauk humanistycznych",2015,"Nie",20,"podlaskie",17.5930769230769
"43"," nauk humanistycznych",2015,"Nie",22,"pomorskie",12.17875
"44"," nauk humanistycznych",2015,"Nie",24,"śląskie",13.2885074626866
"45"," nauk humanistycznych",2015,"Nie",26,"świętokrzyskie",9.46375
"46"," nauk humanistycznych",2015,"Nie",28,"warmińsko-mazurskie",13.9484210526316
"47"," nauk humanistycznych",2015,"Nie",30,"wielkopolskie",15.4028888888889
"48"," nauk humanistycznych",2015,"Nie",32,"zachodniopomorskie",12.2585185185185
"49"," nauk humanistycznych",2015,"Tak",2,"dolnośląskie",4.98290322580645
"50"," nauk humanistycznych",2015,"Tak",4,"kujawsko-pomorskie",5.16022222222222
"51"," nauk humanistycznych",2015,"Tak",6,"lubelskie",6.15315789473684
"52"," nauk humanistycznych",2015,"Tak",8,"lubuskie",5.925
"53"," nauk humanistycznych",2015,"Tak",10,"łódzkie",4.66888888888889
"54"," nauk humanistycznych",2015,"Tak",12,"małopolskie",4.46266129032258
"55"," nauk humanistycznych",2015,"Tak",14,"mazowieckie",4.55836206896552
"56"," nauk humanistycznych",2015,"Tak",16,"opolskie",3.71117647058824
"57"," nauk humanistycznych",2015,"Tak",18,"podkarpackie",5.66818181818182
"58"," nauk humanistycznych",2015,"Tak",20,"podlaskie",2.86333333333333
"59"," nauk humanistycznych",2015,"Tak",22,"pomorskie",3.8631914893617
"60"," nauk humanistycznych",2015,"Tak",24,"śląskie",5.3989552238806
"61"," nauk humanistycznych",2015,"Tak",26,"świętokrzyskie",2.70833333333333
"62"," nauk humanistycznych",2015,"Tak",28,"warmińsko-mazurskie",6.575
"63"," nauk humanistycznych",2015,"Tak",30,"wielkopolskie",5.06613636363636
"64"," nauk humanistycznych",2015,"Tak",32,"zachodniopomorskie",5.12884615384615
"65"," nauk humanistycznych",2016,"Nie",2,"dolnośląskie",13.146935483871
"66"," nauk humanistycznych",2016,"Nie",4,"kujawsko-pomorskie",13.56625
"67"," nauk humanistycznych",2016,"Nie",6,"lubelskie",15.59125
"68"," nauk humanistycznych",2016,"Nie",8,"lubuskie",12.7266666666667
"69"," nauk humanistycznych",2016,"Nie",10,"łódzkie",12.308
"70"," nauk humanistycznych",2016,"Nie",12,"małopolskie",13.647868852459
"71"," nauk humanistycznych",2016,"Nie",14,"mazowieckie",13.4833333333333
