record; height; mass; arm length; bicep size; muscle to fat ratio 
no; 1.84; 83; 0.90; 13.54; 0.18 
no; 1.73; 76; 0.85; 13.31; 0.11 
no; 1.82; 82; 0.89; 13.25; 0.12 
no; 1.73; 79; 0.85; 13.91; 0.17 
no; 1.79; 75; 0.88; 13.42; 0.13 
yes; 1.81; 83; 0.89; 14.13; 0.14 
no; 1.85; 79; 0.91; 13.93; 0.11 
no; 1.77; 85; 0.87; 13.42; 0.15 
no; 1.81; 78; 0.89; 13.92; 0.14 
no; 1.75; 86; 0.86; 13.14; 0.17 
yes; 1.86; 82; 0.91; 13.53; 0.11 
yes; 1.88; 82; 0.92; 14.26; 0.12 
no; 1.76; 79; 0.86; 13.59; 0.12 
no; 1.72; 75; 0.84; 13.94; 0.17 
yes; 1.88; 89; 0.92; 13.67; 0.17 
no; 1.82; 76; 0.89; 13.18; 0.15 
no; 1.77; 86; 0.87; 13.51; 0.14 
no; 1.82; 75; 0.89; 13.66; 0.15 
no; 1.84; 81; 0.90; 13.41; 0.18 
no; 1.75; 76; 0.86; 13.84; 0.13 
no; 1.78; 86; 0.87; 13.60; 0.17 
no; 1.84; 84; 0.90; 13.58; 0.18 
no; 1.83; 85; 0.90; 13.19; 0.19 
no; 1.77; 82; 0.87; 13.80; 0.12 
no; 1.77; 77; 0.87; 13.46; 0.16 
no; 1.78; 78; 0.87; 13.86; 0.12 
no; 1.74; 82; 0.85; 13.86; 0.16 
no; 1.72; 85; 0.84; 13.40; 0.12 
no; 1.79; 83; 0.88; 13.99; 0.18 
no; 1.81; 84; 0.89; 13.41; 0.12 
no; 1.8; 85; 0.88; 13.04; 0.18 
no; 1.83; 78; 0.90; 13.51; 0.12 
no; 1.76; 77; 0.86; 13.65; 0.14 
no; 1.82; 76; 0.89; 13.75; 0.13 
no; 1.78; 85; 0.87; 13.86; 0.14 
no; 1.82; 76; 0.89; 13.82; 0.12 
no; 1.76; 82; 0.86; 13.87; 0.19 
no; 1.8; 80; 0.88; 13.72; 0.16 
yes; 1.85; 89; 0.91; 13.78; 0.10 
no; 1.79; 81; 0.88; 13.59; 0.11 
no; 1.76; 85; 0.86; 13.65; 0.17 
yes; 1.77; 84; 0.87; 13.66; 0.13 
no; 1.76; 84; 0.86; 13.31; 0.14 
no; 1.83; 77; 0.90; 13.26; 0.16 
no; 1.79; 77; 0.88; 13.61; 0.15 
no; 1.81; 86; 0.89; 13.25; 0.13 
no; 1.74; 85; 0.85; 13.12; 0.18 
no; 1.82; 78; 0.89; 13.88; 0.11 
no; 1.75; 76; 0.86; 13.64; 0.17 
no; 1.84; 77; 0.90; 13.31; 0.12 
no; 1.82; 83; 0.89; 13.20; 0.12 
no; 1.81; 86; 0.89; 13.26; 0.18 
no; 1.84; 77; 0.90; 13.62; 0.15 
no; 1.78; 86; 0.87; 13.71; 0.15 
no; 1.74; 78; 0.85; 13.67; 0.17 
no; 1.71; 82; 0.84; 13.22; 0.18 
no; 1.8; 78; 0.88; 13.45; 0.13 
no; 1.73; 81; 0.85; 13.54; 0.16 
no; 1.78; 86; 0.87; 13.41; 0.18 
no; 1.8; 86; 0.88; 13.88; 0.16 
no; 1.75; 80; 0.86; 13.35; 0.16 
no; 1.71; 75; 0.84; 13.55; 0.13 
no; 1.83; 80; 0.90; 13.87; 0.12 
no; 1.75; 76; 0.86; 13.60; 0.12 
no; 1.85; 78; 0.91; 13.62; 0.13 
no; 1.74; 86; 0.85; 13.08; 0.14 
no; 1.8; 75; 0.88; 13.88; 0.12 
no; 1.74; 75; 0.85; 13.00; 0.12 
no; 1.74; 81; 0.85; 13.51; 0.14 
yes; 1.81; 87; 0.89; 13.99; 0.12 
no; 1.76; 85; 0.86; 13.95; 0.15 
no; 1.85; 80; 0.91; 13.75; 0.13 
no; 1.84; 76; 0.90; 13.83; 0.12 
no; 1.71; 86; 0.84; 13.20; 0.14 
no; 1.82; 79; 0.89; 13.58; 0.15 
no; 1.73; 83; 0.85; 13.41; 0.13 
no; 1.74; 82; 0.85; 13.70; 0.12 
no; 1.71; 86; 0.84; 13.68; 0.15 
no; 1.81; 78; 0.89; 13.30; 0.11 
no; 1.72; 85; 0.84; 13.97; 0.17 
no; 1.82; 76; 0.89; 13.93; 0.16 
no; 1.73; 83; 0.85; 13.94; 0.15 
no; 1.79; 86; 0.88; 13.06; 0.14 
no; 1.74; 86; 0.85; 13.77; 0.18 
no; 1.73; 86; 0.85; 13.99; 0.13 
no; 1.79; 76; 0.88; 13.34; 0.15 
no; 1.74; 77; 0.85; 13.92; 0.16 
no; 1.77; 75; 0.87; 13.75; 0.11 
no; 1.82; 86; 0.89; 13.85; 0.18 
no; 1.84; 85; 0.90; 13.50; 0.15 
no; 1.72; 81; 0.84; 13.42; 0.19 
no; 1.74; 75; 0.85; 13.59; 0.15 
no; 1.85; 85; 0.91; 13.81; 0.15 
no; 1.81; 78; 0.89; 13.28; 0.13 
no; 1.77; 84; 0.87; 13.56; 0.18 
no; 1.82; 85; 0.89; 13.33; 0.15 
no; 1.72; 80; 0.84; 13.40; 0.17 
no; 1.74; 81; 0.85; 13.84; 0.13 
no; 1.71; 85; 0.84; 13.93; 0.12 
no; 1.83; 75; 0.90; 13.99; 0.19 
no; 1.72; 86; 0.84; 13.40; 0.11 
no; 1.82; 83; 0.89; 13.65; 0.17 
no; 1.83; 77; 0.90; 13.83; 0.16 
no; 1.77; 80; 0.87; 13.12; 0.15 
no; 1.71; 82; 0.84; 13.49; 0.11 
no; 1.76; 78; 0.86; 13.77; 0.18 
no; 1.82; 78; 0.89; 13.04; 0.13 
no; 1.77; 77; 0.87; 13.78; 0.14 
no; 1.71; 85; 0.84; 13.65; 0.17 
no; 1.84; 78; 0.90; 13.71; 0.13 
no; 1.81; 77; 0.89; 13.63; 0.18 
yes; 1.77; 85; 0.87; 13.84; 0.13 
no; 1.82; 86; 0.89; 13.09; 0.18 
no; 1.85; 85; 0.91; 13.08; 0.14 
yes; 1.8; 89; 0.88; 14.27; 0.11 
no; 1.74; 82; 0.85; 13.81; 0.18 
no; 1.85; 86; 0.91; 13.23; 0.11 
no; 1.8; 83; 0.88; 13.00; 0.13 
no; 1.8; 77; 0.88; 13.87; 0.18 
no; 1.74; 82; 0.85; 13.66; 0.12 
no; 1.84; 75; 0.90; 13.80; 0.16 
no; 1.78; 83; 0.87; 13.96; 0.14 
no; 1.74; 82; 0.85; 13.71; 0.18 
no; 1.74; 84; 0.85; 13.49; 0.14 
no; 1.83; 77; 0.90; 13.15; 0.17 
no; 1.84; 84; 0.90; 13.60; 0.17 
no; 1.82; 85; 0.89; 13.18; 0.13 
no; 1.75; 76; 0.86; 13.54; 0.18 
no; 1.77; 82; 0.87; 13.92; 0.18 
no; 1.73; 77; 0.85; 13.81; 0.16 
no; 1.77; 79; 0.87; 13.46; 0.12 
no; 1.74; 86; 0.85; 13.61; 0.17 
no; 1.79; 75; 0.88; 13.07; 0.16 
no; 1.75; 79; 0.86; 13.23; 0.17 
no; 1.81; 81; 0.89; 13.78; 0.11 
no; 1.83; 79; 0.90; 13.30; 0.13 
no; 1.85; 81; 0.91; 13.55; 0.13 
no; 1.85; 75; 0.91; 13.46; 0.15 
no; 1.72; 76; 0.84; 13.48; 0.13 
