Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
1,Legia to huje a lech mistrz polski!,https://www.youtube.com/watch?v=sV1DlnxbSYI,Zadlu xpompa,https://www.youtube.com/channel/UCldjjtvypunEgOuYwBCAvyQ,2022-12-20T23:04:54.206Z,sV1DlnxbSYI,0 days 00:00:32,2576916,56710,0,6576,3250
2,YouTube Data API Tutorial - Search for Videos,https://www.youtube.com/watch?v=QY8dhl1EQfI,Anson the Developer,https://www.youtube.com/channel/UCvjXo25nY-WMCTEXZZb0xsw,2022-12-20T23:02:18.666Z,QY8dhl1EQfI,0 days 00:11:34,7801,124,0,10,28200
3,YouTube Data API Tutorial with Python - Analyze Channel Statistics - Part 1,https://www.youtube.com/watch?v=5qtC-tsQ-wE,Patrick Loeber,https://www.youtube.com/channel/UCbXgNpp0jedKWcQiULLbDTA,2022-12-20T22:23:32.370Z,5qtC-tsQ-wE,0 days 00:20:42,33586,674,0,87,216000
4,"SĘDZIA MARCINIAK OPOWIADA ANEGDOTY Z BOISKA (RAMOS, PIQUE I NIE TYLKO)",https://www.youtube.com/watch?v=GMx03tKbXV0,Kanał Sportowy Extra,https://www.youtube.com/channel/UCUPIHY6CJekpo_RRrnwTSeA,2022-12-20T10:05:58.107Z,GMx03tKbXV0,0 days 00:11:47,623227,9800,0,315,209000
5,Bose SoundLink Flex vs JBL Charge 5 Binaural Sound Samples,https://www.youtube.com/watch?v=APfnFjEjPGQ,DLX Willington,https://www.youtube.com/channel/UCERaE187ThYiZtjokJ0QVUQ,2022-12-19T00:27:08.571Z,APfnFjEjPGQ,0 days 00:05:22,64175,784,0,281,89100
6,BOSE SOUNDLINK FLEX VS JBL CHARGE 5! Review and unboxing.,https://www.youtube.com/watch?v=UxM26RukHzo,Chilled Fossil,https://www.youtube.com/channel/UC28SNoHGrYs1kCRytlvwEfw,2022-12-19T00:22:05.849Z,UxM26RukHzo,0 days 00:09:41,44525,474,0,219,15500
7,Bose Soundlink Flex: The King of Portable Speakers?,https://www.youtube.com/watch?v=RjjeJ5IlIMw,Smart Home Sounds,https://www.youtube.com/channel/UCTIFIULcxN0sh8b3uXgDX6g,2022-12-19T00:17:05.475Z,RjjeJ5IlIMw,0 days 00:16:17,106240,1455,0,135,80900
8,JBL Flip 6 vs Bose Soundlink Flex: Which to buy?,https://www.youtube.com/watch?v=471GM4ln90U,Smart Home Sounds,https://www.youtube.com/channel/UCTIFIULcxN0sh8b3uXgDX6g,2022-12-19T00:17:03.989Z,471GM4ln90U,0 days 00:12:19,487471,4893,0,396,80900
9,Bose Soundlink Revolve II Review -  Save Your Money! The Fanboys Are Mad!!!!,https://www.youtube.com/watch?v=K_fokFWRLJU,English Dan Reviews,https://www.youtube.com/channel/UC0NPIB_YUySPF_T1Z0etCkA,2022-12-19T00:14:47.969Z,K_fokFWRLJU,0 days 00:07:48,61603,274,0,232,7710
10,Bose Soundlink Revolve Plus II Sound Test,https://www.youtube.com/watch?v=ljgheSgPxSI,AudioTrends TV,https://www.youtube.com/channel/UCAlcZddWN2a3k2zJxOVP3fg,2022-12-18T23:49:36.962Z,,,,,,,
11,"MŚ 2022, FINAŁ: ARGENTYNA - FRANCJA, WIELKI MESSI! ZDECYDOWAŁY RZUTY KARNE | SKRÓT",https://www.youtube.com/watch?v=GX3HO9PBA0s,TVP Sport ,https://www.youtube.com/channel/UCalwFtq-BVcszKLZ5k2vbLw,2022-12-18T23:35:47.518Z,GX3HO9PBA0s,0 days 00:16:55,953829,16655,0,2321,570000
12,Watch again: Argentina fans in Buenos Aires celebrate after World Cup win,https://www.youtube.com/watch?v=LQm0RcXTvN8,The Independent,https://www.youtube.com/channel/UCshwRhftzkiov5wKR7M_LsQ,2022-12-18T17:59:36.456Z,LQm0RcXTvN8,0 days 08:43:29,735919,3719,0,26,555000
13,🇫🇷PARIS Street atmosphere on the day of the ⚽️ World Cup final ⚽️Live Streaming 18/DECEMBRE/2022,https://www.youtube.com/watch?v=tHeqy7NWMAc,ART VISION TV / C&B JOURNAL,https://www.youtube.com/channel/UCmLKaHIZqVpAeQCayN9GZpw,2022-12-18T17:59:30.459Z,tHeqy7NWMAc,0 days 01:41:47,24132,339,0,13,44800
14,World Cup final with enthusiastic fans on the streets of Buenos Aires in Argentina - SkylineWebcams,https://www.youtube.com/watch?v=jpEFQf780l0,SkylineWebcams,https://www.youtube.com/channel/UC2WMV4vCYurHdHPd9pCqYSg,2022-12-18T17:56:34.612Z,jpEFQf780l0,0 days 01:53:26,19568,167,0,7,27600
15,LIVE | Argentina fans celebrate in Buenos Aires after Lionel Messi leads team to World Cup title,https://www.youtube.com/watch?v=Ql1_D4VJjd4,Associated Press,https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA,2022-12-18T17:55:52.677Z,Ql1_D4VJjd4,0 days 07:46:23,1066115,14521,0,82,2040000
16,Fans in Paris react to nail-biting World Cup final between France and Argentina,https://www.youtube.com/watch?v=PQ7xBlnGYU8,Sky News,https://www.youtube.com/channel/UCoMdktPbSTixAyNGwb-UYkQ,2022-12-18T16:54:18.929Z,PQ7xBlnGYU8,0 days 03:05:05,185287,1609,0,427,6040000
17,DIRECTO: Aficionados de Francia se reúnen en París para ver la gran final del Mundial,https://www.youtube.com/watch?v=tFBfQuHhwrI,La Vanguardia,https://www.youtube.com/channel/UClLLRs_mFTsNT5U-DqTYAGg,2022-12-18T16:54:01.627Z,tFBfQuHhwrI,0 days 03:38:31,15337,122,0,7,1450000
18,coraz blizej swieta,https://www.youtube.com/watch?v=Ks-XOYl63F8,Klocuch,https://www.youtube.com/channel/UCxSGC9BtJN2jgcz7ynXWdOw,2022-12-17T22:52:46.898Z,Ks-XOYl63F8,0 days 00:04:01,351968,31895,0,1579,520000
19,DJ lando Norris at a red bull party Downtown Austin #f1 #landonorris #maxverstappen #redbullracing,https://www.youtube.com/watch?v=nzElx2N5Psg,TikTok Max Tube,https://www.youtube.com/channel/UCbs7BU9XL9__wtcYGqL32oQ,2022-12-17T22:46:26.910Z,nzElx2N5Psg,0 days 00:00:30,53670,2355,0,18,5690
20,Huge aquarium bursts open wrecking Berlin hotel lobby,https://www.youtube.com/watch?v=qCYEpbSgZ_w,Guardian News,https://www.youtube.com/channel/UCIRYBXDze5krPDzAEOxFGVA,2022-12-17T13:25:05.645Z,qCYEpbSgZ_w,0 days 00:01:07,797215,2101,0,756,2950000
21,Huge fish tank bursts in Berlin hotel lobby | AquaDom Aquarium,https://www.youtube.com/watch?v=Drb0fW8SFbk,Daily Mail,https://www.youtube.com/channel/UCw3fku0sH3qA3c3pZeJwdAw,2022-12-17T13:24:53.230Z,Drb0fW8SFbk,0 days 00:01:12,209952,277,0,226,2200000
22,Berlin Aquarium Explosion 🐠 #berlin #fish #aquadom #fishtank #fische #germany #aquariumexplosion,https://www.youtube.com/watch?v=Iey6Sfb4Rmo,Eileen Aldis,https://www.youtube.com/channel/UCeguYg1beQ9CiAh8SYyh4jQ,2022-12-17T13:24:40.816Z,Iey6Sfb4Rmo,0 days 00:01:01,106662,1664,0,41,122000
23,Apple Watch Ultra - I Was WRONG.,https://www.youtube.com/watch?v=62ES5_FSTF0,Noah Herman,https://www.youtube.com/channel/UCxg8tC0Ng0T6xizqsPWnV7g,2022-12-17T12:48:49.825Z,62ES5_FSTF0,0 days 00:00:57,1398392,78931,0,617,219000
24,Jest prawie 900 koni w M3cs od Isamu! Jeden film- cała budowa! M gotowa!,https://www.youtube.com/watch?v=HyWR1ixxe7E,Budda. TV,https://www.youtube.com/channel/UC8LJZNHnqXKg5TMgyvxszPA,2022-12-17T12:45:29.264Z,HyWR1ixxe7E,0 days 00:52:51,1125055,73690,0,3729,1110000
25,Bose Soundlink Flex Compared JBL Charge 5 & Sony XB33 - Can The Flex Keep Up?,https://www.youtube.com/watch?v=6Xc-VnMcnCU,GYMCADDY,https://www.youtube.com/channel/UCW5cHxkagtxS59B48uvhHVQ,2022-12-17T12:37:42.552Z,6Xc-VnMcnCU,0 days 00:13:00,129281,1856,0,326,117000
26,Incydent w Komendzie Głównej Policji. Gen. Koziej: Jestem zażenowany #shorts,https://www.youtube.com/watch?v=o_zQS7p2pYo,Wirtualna Polska News,https://www.youtube.com/channel/UC-wh71MEZ4KAx94aZyoG_qg,2022-12-17T12:35:26.084Z,o_zQS7p2pYo,0 days 00:00:44,16572,310,0,80,39100
27,sanah - Pitagoras,https://www.youtube.com/watch?v=4Vgiz_xSQqE,Okiem Nastolatka,https://www.youtube.com/channel/UC-wdu92cWHr_EPGHe9jWdNg,2022-12-17T10:13:04.783Z,4Vgiz_xSQqE,0 days 00:00:51,108706,1230,0,63,137
28,DRAMAT SESJI,https://www.youtube.com/watch?v=pQrFWNhtxSA,AbstrachujeTV,https://www.youtube.com/channel/UCTISYi9ABujrrI1Slg3ZDBA,2022-12-17T09:53:36.916Z,pQrFWNhtxSA,0 days 00:05:59,4284349,116115,0,1626,3390000
29,Hear the Otherworldly Sounds of Skating on Thin Ice | National Geographic,https://www.youtube.com/watch?v=v3O9vNi-dkA,National Geographic,https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A,2022-12-17T09:53:04.484Z,v3O9vNi-dkA,0 days 00:03:08,28752377,454367,0,18455,21100000
30,Spacer po Liceum Hoffmanowej,https://www.youtube.com/watch?v=VIIjD7vSAsY,Hoffmanowa Television,https://www.youtube.com/channel/UCLpGr_pm-HB7iSCCEZYkroA,2022-12-17T09:52:16.072Z,VIIjD7vSAsY,0 days 00:16:32,31362,569,0,4,741
31,M1 iPad Pro Setup,https://www.youtube.com/watch?v=AfLF8hZJvYg,Conor Butkovic,https://www.youtube.com/channel/UCobycY6SmpWfwU_eAKtknHA,2022-12-17T09:51:08.617Z,AfLF8hZJvYg,0 days 00:00:37,4035810,176527,0,983,19100
32,MARCINIAK O FINALE MŚ I CHOROBIE: ŻYCIE ODDAŁO NAM PODWÓJNIE | WYWIAD,https://www.youtube.com/watch?v=4YUNG9p2vew,TVP Sport ,https://www.youtube.com/channel/UCalwFtq-BVcszKLZ5k2vbLw,2022-12-17T09:49:05.144Z,4YUNG9p2vew,0 days 00:04:10,267896,6238,0,344,570000
33,JBL Charge 5 bass test,https://www.youtube.com/watch?v=lLO662U2M_o,Roberto Rodriguez Reyes,https://www.youtube.com/channel/UCg1hi8UgpUKSgzjmPR5OHDA,2022-12-17T09:36:19.753Z,lLO662U2M_o,0 days 00:00:41,344669,12919,0,162,719
34,JBL Flip 6 vs JBL Charge 5: Which should you buy?,https://www.youtube.com/watch?v=XMLa9xBKyMQ,Smart Home Sounds,https://www.youtube.com/channel/UCTIFIULcxN0sh8b3uXgDX6g,2022-12-17T09:33:01.677Z,XMLa9xBKyMQ,0 days 00:04:59,190807,2418,0,150,80900
35,"JBL FLIP 6 -  Kapitalny, Bezprzewodowy Głośnik Do Domu i Na Imprezę 🔊 | Recenzja w 60s",https://www.youtube.com/watch?v=5SF2jPYsiOs,Mateusz Krawczyk,https://www.youtube.com/channel/UCvb_3WrGri7dqKP2j-EvcDA,2022-12-17T09:31:52.835Z,5SF2jPYsiOs,0 days 00:00:59,16003,714,0,28,390000
36,JBL Charge 5 and Flip 6 outdoor test,https://www.youtube.com/watch?v=2s-FFIp35Ec,Mike's JBL's ツ,https://www.youtube.com/channel/UCkzAUArS-wE5x1jMjM-36kA,2022-12-17T09:31:22.819Z,2s-FFIp35Ec,0 days 00:00:27,27844,875,0,20,119
37,"JBL CHARGE 5 - Rewolucja Głośności - TEN SAM WYGLĄD, NOWY PRZETWORNIK!!!",https://www.youtube.com/watch?v=bocqtMiICA0,Kuba1qba,https://www.youtube.com/channel/UCqwBmjYG2w_sEMgLv29Jg7A,2022-12-17T09:18:59.767Z,bocqtMiICA0,0 days 00:09:10,82372,2771,0,331,280000
38,KODAK M38 film camera for beginners with sample photos! how to load film 🇰🇷 KOREA VLOG,https://www.youtube.com/watch?v=rAXu3IUHqrU,sassyinkorea,https://www.youtube.com/channel/UCNrRJm0gWx69f8Ybdnsi23A,2022-12-16T00:39:03.741Z,rAXu3IUHqrU,0 days 00:05:02,42509,1636,0,71,215000
39,Kodak M35 Reusable Film Camera | Review and Photos,https://www.youtube.com/watch?v=xJ8cStn9uOE,CarefulCharlie,https://www.youtube.com/channel/UCCTaMlkd3GNG7OxC3g2QjIg,2022-12-16T00:37:18.884Z,xJ8cStn9uOE,0 days 00:03:08,65789,2082,0,32,262
