Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
4001,The living legend N'golo Kante 🚗🙏,https://www.youtube.com/watch?v=iWlFDLfy4LE,Trend Football,https://www.youtube.com/channel/UCQ2XgW17LH7_KiE0n2WLl5w,2022-01-29T23:50:43.332Z,iWlFDLfy4LE,0 days 00:00:30,9294658,326305,0,1597,8850
4002,How Real Men do Fractions,https://www.youtube.com/watch?v=PBEfwjOmRlI,Flammable Maths,https://www.youtube.com/channel/UCtAIs1VCQrymlAnw3mGonhw,2022-01-29T23:50:19.736Z,PBEfwjOmRlI,0 days 00:01:00,297088,14229,0,556,332000
4003,Medvedev Screams At Umpire About Tsitsipas Father | Eurosport Tennis,https://www.youtube.com/watch?v=IEMLvgRcdd8,Eurosport Tennis,https://www.youtube.com/channel/UCxyDulPLBU9WiiN43xTs5FQ,2022-01-29T19:29:07.020Z,IEMLvgRcdd8,0 days 00:04:11,270104,1875,0,676,77800
4004,Creed Eats a Potato - The Office,https://www.youtube.com/watch?v=3VsznGtIdHY,The Office,https://www.youtube.com/channel/UCa90xqK2odw1KV5wHU9WRhg,2022-01-29T18:47:36.743Z,3VsznGtIdHY,0 days 00:02:07,2802306,55399,0,1158,2990000
4005,Man Fights Off Bear to Save His Dogs,https://www.youtube.com/watch?v=9ulgdOfOHmM,Daily Dose Of Internet,https://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,2022-01-29T18:45:10.916Z,9ulgdOfOHmM,0 days 00:02:10,5266600,254668,0,8969,14500000
4006,Apple TV 4K 2022 – What's The Point? (Review & Tour),https://www.youtube.com/watch?v=INdNL8-pFfQ,Andrew Ethan Zeng,https://www.youtube.com/channel/UCgDqL4yzXb4BflimZaxL4Vg,2022-01-29T18:20:59.306Z,INdNL8-pFfQ,0 days 00:07:15,835884,10461,0,602,177000
4007,iPhone 13 Pro Batarya Değişimi 🇹🇷,https://www.youtube.com/watch?v=W0fqlhOxVvA,GSM İletişim,https://www.youtube.com/channel/UCPVPq5p1ulpKxBys6yvsq5w,2022-01-29T16:53:26.088Z,W0fqlhOxVvA,0 days 00:10:33,379555,4525,0,638,695000
4008,Ich steki podają nawet na pokładzie Air Force One! [Fabryki Smaku],https://www.youtube.com/watch?v=xWM4kbqXX3E,National Geographic Polska,https://www.youtube.com/channel/UC9mYFechRIdFfwYQgCZnCTQ,2022-01-29T11:27:45.543Z,xWM4kbqXX3E,0 days 00:03:08,15249,369,0,21,658000
4009,Nietypowy upadek Timiego Zajca w Willingen,https://www.youtube.com/watch?v=OHj1jRSZGjk,Eurosport Polska,https://www.youtube.com/channel/UC_pkfygi0DKht_Cc0Ca42Fw,2022-01-29T11:26:29.979Z,OHj1jRSZGjk,0 days 00:02:02,233162,2490,0,124,115000
4010,iOS 15.3 Już Jest❗️Co Nowego w iPhone?📱 Świetne Funkcje w iOS 15.4,https://www.youtube.com/watch?v=e4cE9L00T10,Mateusz Krawczyk,https://www.youtube.com/channel/UCvb_3WrGri7dqKP2j-EvcDA,2022-01-29T11:21:56.439Z,e4cE9L00T10,0 days 00:08:03,60051,1943,0,163,391000
4011,Can you change ? 😂 #sundarpichai #google #iit #iitkgp #shorts #googledoodle #doodle #mensday,https://www.youtube.com/watch?v=pUxBwMceNvo,Learn with Jaspal,https://www.youtube.com/channel/UCU5eV0c0SE0TMXrV8P94jAQ,2022-01-29T09:05:34.497Z,pUxBwMceNvo,0 days 00:00:38,60312061,3219669,0,3830,2420000
