"Matches","Result","Colors","Percentages","Type","Player"
927,"Won","#8b8987",49.15,"bullet","Kacper"
40,"Draw","#b23330",2.12,"bullet","Kacper"
919,"Lost","#85a94e",48.73,"bullet","Kacper"
90,"Won","#8b8987",57.32,"blitz","Kacper"
5,"Draw","#b23330",3.18,"blitz","Kacper"
62,"Lost","#85a94e",39.49,"blitz","Kacper"
33,"Won","#8b8987",63.46,"rapid","Kacper"
4,"Draw","#b23330",7.69,"rapid","Kacper"
15,"Lost","#85a94e",28.85,"rapid","Kacper"
818,"Won","#8b8987",50,"bullet","Krzysiek"
33,"Draw","#b23330",2,"bullet","Krzysiek"
786,"Lost","#85a94e",48,"bullet","Krzysiek"
464,"Won ","#8b8987",53,"blitz","Krzysiek"
26,"Draw","#b23330",3,"blitz","Krzysiek"
378,"Lost","#85a94e",44,"blitz","Krzysiek"
166,"Won","#8b8987",55,"rapid","Krzysiek"
15,"Draw ","#b23330",5,"rapid","Krzysiek"
123,"Lost","#85a94e",40,"rapid","Krzysiek"
