"Name","Start","End","Duration","Process"
"System operacyjny Microsoft® Windows®","2023-01-01T10:27:17.0000000","2023-01-01T10:27:36.0000000","0:00:19","System operacyjny Microsoft® Windows®"
"Facebook - Google Chrome","2023-01-01T10:27:36.0000000","2023-01-01T10:27:45.0000000","0:00:09","Google Chrome"
"TIDAL","2023-01-01T10:27:45.0000000","2023-01-01T10:27:58.0000000","0:00:13","TIDAL"
"Bez tytułu — Osobisty — Microsoft​ Edge","2023-01-01T10:27:58.0000000","2023-01-01T10:28:03.0000000","0:00:05","Microsoft Edge"
"Got You on My Mind - Eric Clapton","2023-01-01T10:28:03.0000000","2023-01-01T10:28:11.0000000","0:00:08","TIDAL"
"Reptile - Eric Clapton","2023-01-01T10:28:11.0000000","2023-01-01T10:28:20.0000000","0:00:09","TIDAL"
"Sylwester 2022. Internauci bezlitośni dla gwiazd TVP. Lista zarzutów jest długa — Osobisty — Microsoft​ Edge","2023-01-01T10:28:20.0000000","2023-01-01T10:28:36.0000000","0:00:16","Microsoft Edge"
"System operacyjny Microsoft® Windows®","2023-01-01T10:28:36.0000000","2023-01-01T10:28:46.0000000","0:00:10","System operacyjny Microsoft® Windows®"
"Reptile - Eric Clapton","2023-01-01T10:28:46.0000000","2023-01-01T10:28:57.0000000","0:00:11","TIDAL"
"Facebook - Google Chrome","2023-01-01T10:28:57.0000000","2023-01-01T10:30:33.0000000","0:01:36","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-01T10:30:33.0000000","2023-01-01T10:30:39.0000000","0:00:06","System operacyjny Microsoft® Windows®"
"Got You on My Mind - Eric Clapton","2023-01-01T10:30:39.0000000","2023-01-01T10:30:48.0000000","0:00:09","TIDAL"
"League of Legends","2023-01-01T10:30:48.0000000","2023-01-01T10:32:25.0000000","0:01:37","League of Legends"
"Facebook - Google Chrome","2023-01-01T10:32:25.0000000","2023-01-01T10:32:44.0000000","0:00:19","Google Chrome"
"League of Legends","2023-01-01T10:32:44.0000000","2023-01-01T10:35:18.0000000","0:02:34","League of Legends"
"Facebook - Google Chrome","2023-01-01T10:35:18.0000000","2023-01-01T10:35:25.0000000","0:00:07","Google Chrome"
"League of Legends (TM) Client","2023-01-01T10:35:25.0000000","2023-01-01T10:52:43.0000000","0:17:18","League of Legends (TM) Client"
"System operacyjny Microsoft® Windows®","2023-01-01T10:52:43.0000000","2023-01-01T10:52:48.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"League of Legends","2023-01-01T10:52:48.0000000","2023-01-01T10:58:04.0000000","0:05:16","League of Legends"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T10:58:04.0000000","2023-01-01T10:58:15.0000000","0:00:11","Google Chrome"
"Omega Squad Tristana Skin Spotlight - League of Legends - YouTube - Google Chrome","2023-01-01T10:58:15.0000000","2023-01-01T10:58:43.0000000","0:00:28","Google Chrome"
"League of Legends","2023-01-01T10:58:43.0000000","2023-01-01T10:58:55.0000000","0:00:12","League of Legends"
"Facebook - Google Chrome","2023-01-01T10:58:55.0000000","2023-01-01T10:59:04.0000000","0:00:09","Google Chrome"
"League of Legends","2023-01-01T10:59:04.0000000","2023-01-01T10:59:55.0000000","0:00:51","League of Legends"
"Facebook - Google Chrome","2023-01-01T10:59:55.0000000","2023-01-01T11:00:15.0000000","0:00:20","Google Chrome"
"freesync - Szukaj w Google - Google Chrome","2023-01-01T11:00:15.0000000","2023-01-01T11:00:20.0000000","0:00:05","Google Chrome"
"FreeSync – co to i jakie korzyści gwarantuje? - Google Chrome","2023-01-01T11:00:20.0000000","2023-01-01T11:01:32.0000000","0:01:12","Google Chrome"
"Facebook - Google Chrome","2023-01-01T11:01:32.0000000","2023-01-01T11:02:32.0000000","0:01:00","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:02:32.0000000","2023-01-01T11:02:38.0000000","0:00:06","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-01T11:02:38.0000000","2023-01-01T11:02:55.0000000","0:00:17","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:02:55.0000000","2023-01-01T11:03:06.0000000","0:00:11","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-01T11:03:06.0000000","2023-01-01T11:03:13.0000000","0:00:07","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:03:13.0000000","2023-01-01T11:03:24.0000000","0:00:11","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-01T11:03:24.0000000","2023-01-01T11:03:29.0000000","0:00:05","Google Chrome"
"Aleksander Baron o prowadzeniu restauracji w Warszawie: Pracuję 20 godzin na dobę - Google Chrome","2023-01-01T11:03:29.0000000","2023-01-01T11:03:35.0000000","0:00:06","Google Chrome"
"League of Legends (TM) Client","2023-01-01T11:03:35.0000000","2023-01-01T11:27:24.0000000","0:23:49","League of Legends (TM) Client"
"Short and Sweet (2006 Remaster) - David Gilmour","2023-01-01T11:27:24.0000000","2023-01-01T11:27:34.0000000","0:00:10","TIDAL"
"League of Legends","2023-01-01T11:27:34.0000000","2023-01-01T11:28:26.0000000","0:00:52","League of Legends"
"Facebook - Google Chrome","2023-01-01T11:28:26.0000000","2023-01-01T11:29:12.0000000","0:00:46","Google Chrome"
"League of Legends","2023-01-01T11:29:12.0000000","2023-01-01T11:31:13.0000000","0:02:01","League of Legends"
"Subskrypcje - YouTube - Google Chrome","2023-01-01T11:31:13.0000000","2023-01-01T11:31:20.0000000","0:00:07","Google Chrome"
"YouTube - Google Chrome","2023-01-01T11:31:20.0000000","2023-01-01T11:31:31.0000000","0:00:11","Google Chrome"
"League of Legends","2023-01-01T11:31:31.0000000","2023-01-01T11:32:55.0000000","0:01:24","League of Legends"
