"App name","Date","Time","Duration"
"YouTube","14.01.2023","23:15:05","9:10:46"
"Ekran włączony (odblokowany)","14.01.2023","23:15:04","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","23:09:48","0:05:16"
"YouTube","14.01.2023","22:22:53","0:46:55"
"Chrome","14.01.2023","22:22:16","0:00:36"
"Google","14.01.2023","22:22:05","0:00:00"
"Ekran włączony (odblokowany)","14.01.2023","22:21:52","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","22:10:35","0:11:17"
"Chrome","14.01.2023","22:09:38","0:00:56"
"Dysk","14.01.2023","22:09:32","0:00:04"
"Ekran włączony (odblokowany)","14.01.2023","22:09:32","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","22:08:25","0:01:07"
"Dysk","14.01.2023","21:25:51","0:42:34"
"Ekran włączony (odblokowany)","14.01.2023","21:25:50","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","21:19:22","0:06:28"
"Dysk","14.01.2023","21:09:39","0:09:44"
"Menedżer plików","14.01.2023","21:09:32","0:00:03"
"Chrome","14.01.2023","21:09:27","0:00:01"
"Ekran włączony (odblokowany)","14.01.2023","21:09:26","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","21:07:02","0:02:24"
"Chrome","14.01.2023","21:06:07","0:00:56"
"YouTube","14.01.2023","21:05:37","0:00:28"
"YouTube","14.01.2023","21:04:48","0:00:48"
"Chrome","14.01.2023","21:04:20","0:00:28"
"Galeria","14.01.2023","21:04:10","0:00:09"
"YouTube","14.01.2023","21:02:45","0:01:20"
"Chrome","14.01.2023","21:02:34","0:00:10"
"Teams","14.01.2023","21:02:13","0:00:21"
"Tłumacz","14.01.2023","21:02:11","0:00:01"
"Ekran włączony (odblokowany)","14.01.2023","21:02:10","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","21:01:52","0:00:18"
"Tłumacz","14.01.2023","21:00:13","0:01:40"
"Ekran włączony (odblokowany)","14.01.2023","21:00:12","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:50:36","0:09:36"
"Tłumacz","14.01.2023","20:50:02","0:00:34"
"Ekran włączony (odblokowany)","14.01.2023","20:50:02","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:50:00","0:00:02"
"Tłumacz","14.01.2023","20:49:53","0:00:08"
"Messenger","14.01.2023","20:49:50","0:00:01"
"Ekran włączony (odblokowany)","14.01.2023","20:49:50","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:41:45","0:08:04"
"Messenger","14.01.2023","20:41:23","0:00:23"
"Tłumacz","14.01.2023","20:41:21","0:00:01"
"Ekran włączony (odblokowany)","14.01.2023","20:41:20","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:40:49","0:00:31"
"Tłumacz","14.01.2023","20:40:36","0:00:14"
"Ekran włączony (odblokowany)","14.01.2023","20:40:35","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:39:18","0:01:17"
"Tłumacz","14.01.2023","20:38:23","0:00:55"
"Ekran włączony (odblokowany)","14.01.2023","20:38:21","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:30:53","0:07:28"
"Chrome","14.01.2023","20:28:21","0:02:31"
"Tłumacz","14.01.2023","20:28:19","0:00:01"
"Ekran włączony (odblokowany)","14.01.2023","20:28:19","0:00:01"
"Ekran wyłączony (zablokowany)","14.01.2023","20:24:35","0:03:43"
"Tłumacz","14.01.2023","20:20:37","0:03:58"
"Messenger","14.01.2023","20:20:33","0:00:01"
"Ekran włączony (odblokowany)","14.01.2023","20:20:33","0:00:01"
