"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"1",2022-12-01 10:26:00,"Arctic Monkeys","505",0.76,2022-12-01 10:25:59,2022-12-01,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,"garage rock","fast"
"2",2022-12-01 10:26:00,"Red Hot Chili Peppers","Black Summer",0.62,2022-12-01 10:25:59,2022-12-01,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,"alternative rock","fast"
"3",2022-12-01 10:26:00,"sanah","Szary świat",0.66,2022-12-01 10:25:59,2022-12-01,0.698,0.545,1,-9.484,1,0.036,0.133,0,0.0835,0.27,120.961,"polish pop","medium"
"4",2022-12-01 10:26:00,"sanah","ostatnia nadzieja",0.71,2022-12-01 10:25:59,2022-12-01,0.688,0.721,4,-7.931,0,0.0326,0.126,0.000247,0.583,0.493,104.973,"polish pop","fast"
"5",2022-12-01 10:26:00,"Męskie Granie Orkiestra 2021","I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",1.35,2022-12-01 10:25:58,2022-12-01,0.503,0.743,10,-4.712,1,0.034,0.0671,6.85e-05,0.0984,0.313,174.002,"polish alternative","fast"
"6",2022-12-01 10:26:00,"The Lumineers","Ophelia",1.06,2022-12-01 10:25:58,2022-12-01,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,"folk-pop","medium"
"7",2022-12-01 10:26:00,"Dawid Podsiadło","Nieznajomy",0.64,2022-12-01 10:25:59,2022-12-01,0.546,0.453,7,-9.86,0,0.0276,0.659,1.67e-05,0.175,0.105,104.969,"polish pop","medium"
"8",2022-12-01 10:26:00,"Cage The Elephant","Cigarette Daydreams",1.08,2022-12-01 10:25:58,2022-12-01,0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,"modern rock","fast"
"9",2022-12-01 10:26:00,"Kwiat Jabłoni","Mogło być nic",1.66,2022-12-01 10:25:58,2022-12-01,0.573,0.634,4,-8.492,0,0.0377,0.198,5.24e-06,0.094,0.247,148.036,"polish alternative","medium"
"10",2022-12-01 10:27:00,"Dawid Podsiadło","Pastempomat",0.73,2022-12-01 10:26:59,2022-12-01,0.597,0.672,5,-8.012,1,0.0315,0.0398,1.3e-05,0.168,0.552,119.995,"polish pop","fast"
"11",2022-12-01 10:27:00,"Harry Styles","As It Was",0.75,2022-12-01 10:26:59,2022-12-01,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,"pop","fast"
"12",2022-12-01 10:27:00,"Męskie Granie Orkiestra 2021","Warszawa",0.75,2022-12-01 10:26:59,2022-12-01,0.509,0.791,4,-8.154,1,0.0418,0.00347,0.00246,0.921,0.333,124.012,"polish alternative","fast"
"13",2022-12-01 10:27:00,"Dawid Podsiadło","Bela",0.86,2022-12-01 10:26:59,2022-12-01,0.704,0.648,0,-6.615,1,0.0259,0.0343,2.19e-06,0.1,0.65,104.015,"polish pop","medium"
"14",2022-12-01 10:27:00,"Imagine Dragons","Birds",0.85,2022-12-01 10:26:59,2022-12-01,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,"modern rock","medium"
"15",2022-12-01 10:27:00,"Steve Lacy","Dark Red",0.92,2022-12-01 10:26:59,2022-12-01,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,"afrofuturism","fast"
