"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"1","753","free time","Dare - Brecc Remix",0.912,2022-12-18 11:33:53,"fast","hard techno",367
"2","753","free time","Dare - Brecc Remix",0.912,2022-12-27 12:31:53,"fast","hard techno",18
"3","753","free time","Dare - Brecc Remix",0.912,2022-12-27 16:18:53,"fast","hard techno",257
"4","753","free time","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-21 01:01:37,"fast","hard techno",9
"5","753","free time","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-29 13:53:39,"fast","hard techno",164
"6","753","free time","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-29 19:55:39,"fast","hard techno",2
"7","753","other","Dare - Brecc Remix",0.912,2022-12-27 12:31:53,"fast","hard techno",304
"8","753","other","Dare - Brecc Remix",0.912,2022-12-27 13:24:53,"fast","hard techno",295
"9","753","other","Dare - Brecc Remix",0.912,2022-12-27 16:18:53,"fast","hard techno",9
"10","753","other","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-24 18:35:30,"fast","hard techno",29
"11","753","other","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-29 13:53:39,"fast","hard techno",156
"12","753","other","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-29 19:55:39,"fast","hard techno",15
"13","753","studies","Dare - Brecc Remix",0.912,2022-12-24 11:29:58,"fast","hard techno",1
"14","753","studies","Dare - Brecc Remix",0.912,2022-12-27 12:31:53,"fast","hard techno",52
"15","753","studies","Dare - Brecc Remix",0.912,2022-12-27 13:24:53,"fast","hard techno",47
"16","753","studies","Dare - Brecc Remix",0.912,2022-12-27 16:18:53,"fast","hard techno",65
"17","753","studies","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-21 01:01:37,"fast","hard techno",199
"18","753","studies","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-28 20:18:57,"fast","hard techno",2
"19","753","studies","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-29 13:53:39,"fast","hard techno",7
"20","753","studies","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-29 19:55:39,"fast","hard techno",268
"21","A$AP ANT","other","The God Hour",0.713,2022-12-29 19:23:24,"fast","baltimore hip hop",1
"22","A$AP ANT","studies","The God Hour",0.713,2022-12-29 19:23:24,"fast","baltimore hip hop",67
"23","A2","other","Midsummer Misery",0.427,2022-12-29 19:50:21,"medium","uk alternative hip hop",6
"24","A2","studies","Midsummer Misery",0.427,2022-12-29 19:50:21,"medium","uk alternative hip hop",92
"25","Aaron May","other","Time",0.276,2022-12-29 19:32:05,"slow","hip hop",2
"26","Aaron May","studies","How I Am (feat. Jay Millz)",0.38,2022-12-29 19:44:45,"medium","hip hop",138
"27","Aaron May","studies","I Ain't Worried",0.524,2022-12-29 19:18:46,"medium","hip hop",117
"28","Aaron May","studies","Time",0.276,2022-12-29 18:06:05,"slow","hip hop",149
"29","Aaron May","studies","Time",0.276,2022-12-29 19:32:05,"slow","hip hop",149
"30","Achiever","free time","The Evil Within",0.955,2022-12-23 23:07:17,"fast","techno rave",136
"31","Achiever","studies","The Evil Within",0.955,2022-12-23 23:07:17,"fast","techno rave",133
"32","AIROD","free time","Jugal Bone",0.989,2022-12-28 22:29:23,"fast","french techno",160
"33","AIROD","other","Jugal Bone",0.989,2022-12-28 22:29:23,"fast","french techno",79
"34","AIROD","studies","Jugal Bone",0.989,2022-12-28 22:29:23,"fast","french techno",19
"35","Alignment","free time","Blue Fire",0.918,2022-12-17 22:16:36,"fast","acid techno",58
"36","Alt8","free time","Hope in Darkness",0.987,2022-12-29 14:45:39,"fast","irish electronic",4
"37","Alt8","other","Hope in Darkness",0.987,2022-12-29 14:45:39,"fast","irish electronic",1
"38","Alt8","studies","Hope in Darkness",0.987,2022-12-29 14:45:39,"fast","irish electronic",339
"39","AnD","free time","Screaming",0.95,2022-12-18 22:33:18,"fast","sleep",87
"40","AnD","free time","Screaming",0.95,2022-12-23 22:47:26,"fast","sleep",31
"41","AnD","free time","Screaming",0.95,2022-12-27 13:19:18,"fast","sleep",3
"42","AnD","other","Screaming",0.95,2022-12-18 22:33:18,"fast","sleep",1
"43","AnD","other","Screaming",0.95,2022-12-27 13:19:18,"fast","sleep",264
"44","AnD","studies","Screaming",0.95,2022-12-18 22:33:18,"fast","sleep",155
"45","AnD","studies","Screaming",0.95,2022-12-23 22:47:26,"fast","sleep",66
"46","AnD","studies","Screaming",0.95,2022-12-27 13:19:18,"fast","sleep",45
"47","AnGy KoRe","free time","Autovelox - Original Mix",0.977,2022-12-17 21:42:04,"fast","dark techno",22
"48","AnGy KoRe","free time","Nobody Listens To Techno - Original Remastered Mix",0.969,2022-12-23 21:19:13,"fast","dark techno",44
"49","AnGy KoRe","studies","Autovelox - Original Mix",0.977,2022-12-17 21:42:04,"fast","dark techno",4
"50","AnGy KoRe","studies","Nobody Listens To Techno - Original Remastered Mix",0.969,2022-12-23 21:19:13,"fast","dark techno",25
"51","Aphrodite's Child","free time","Aegian Sea",0.456,2022-12-27 22:38:37,"medium","art rock",322
