"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"1",2022-12-01 01:04:00,"Kanye West","Champion",150.003,2022-12-01 01:01:29,2022-12-01,0.693,0.504,6,-8.306,1,0.238,0.00299,0,0.695,0.723,102.139,"chicago rap","medium"
"2",2022-12-01 15:25:00,"Kanye West","Flashing Lights",21.52,2022-12-01 15:24:38,2022-12-01,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,"chicago rap","medium"
"3",2022-12-01 15:58:00,"Czesław Niemen","Sen O Warszawie",26.99,2022-12-01 15:57:33,2022-12-01,0.503,0.848,3,-8.174,1,0.136,0.156,0,0.936,0.638,99.638,"classic polish pop","fast"
"4",2022-12-01 16:02:00,"Kanye West","Flashing Lights",237.506,2022-12-01 15:58:02,2022-12-01,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,"chicago rap","medium"
"5",2022-12-01 16:39:00,"Kanye West","Remote Control",33.873,2022-12-01 16:38:26,2022-12-01,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,110.105,"chicago rap","medium"
"6",2022-12-01 16:43:00,"Kanye West","Flashing Lights",237.506,2022-12-01 16:39:02,2022-12-01,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,"chicago rap","medium"
"7",2022-12-01 21:17:00,"JAY-Z","Made In America",98.693,2022-12-01 21:15:21,2022-12-01,0.705,0.729,11,-7.01,0,0.221,0.0428,5.86e-05,0.224,0.549,165.901,"east coast hip hop","fast"
"8",2022-12-01 21:21:00,"Kanye West","Bound 2",229.146,2022-12-01 21:17:10,2022-12-01,0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,"chicago rap","medium"
"9",2022-12-01 21:23:00,"Kanye West","Junya",147.668,2022-12-01 21:20:32,2022-12-01,0.752,0.69,7,-3.948,1,0.0642,0.27,0,0.303,0.396,148.07,"chicago rap","fast"
"10",2022-12-01 21:29:00,"Kanye West","Saint Pablo",372.113,2022-12-01 21:22:47,2022-12-01,0.461,0.772,2,-3.98,0,0.375,0.282,0,0.178,0.414,167.018,"chicago rap","fast"
"11",2022-12-01 21:33:00,"Kanye West","Late",230.493,2022-12-01 21:29:09,2022-12-01,0.334,0.843,10,-5.928,0,0.173,0.197,3.95e-06,0.295,0.616,75.281,"chicago rap","fast"
"12",2022-12-01 21:35:00,"Kanye West","Low Lights",131.773,2022-12-01 21:32:48,2022-12-01,0.603,0.593,7,-4.685,1,0.109,0.706,0,0.121,0.523,101.956,"chicago rap","medium"
"13",2022-12-01 21:51:00,"sanah","ostatnia nadzieja",1.97,2022-12-01 21:50:58,2022-12-01,0.688,0.721,4,-7.931,0,0.0326,0.126,0.000247,0.583,0.493,104.973,"polish pop","fast"
"14",2022-12-01 21:51:00,"Kanye West","Jonah",82.204,2022-12-01 21:49:37,2022-12-01,0.459,0.431,9,-8.375,0,0.256,0.795,0,0.274,0.128,177.3,"chicago rap","medium"
"15",2022-12-01 21:52:00,"Dawid Podsiadło","mori",27.07,2022-12-01 21:51:32,2022-12-01,0.37,0.497,6,-7.579,1,0.0501,0.634,0,0.154,0.101,125.032,"polish pop","medium"
"16",2022-12-01 21:52:00,"Dawid Podsiadło","!H.a.p.p.y!",2.49,2022-12-01 21:51:57,2022-12-01,0.551,0.332,10,-11.797,1,0.0268,0.673,4.24e-05,0.111,0.112,100.107,"polish pop","slow"
"17",2022-12-01 21:52:00,"Dawid Podsiadło","To co masz Ty!",6.96,2022-12-01 21:51:53,2022-12-01,0.663,0.811,0,-6.614,1,0.0301,0.0103,5.35e-06,0.21,0.937,119.03,"polish pop","fast"
"18",2022-12-01 21:53:00,"Dawid Podsiadło","To co masz Ty!",22.75,2022-12-01 21:52:37,2022-12-01,0.663,0.811,0,-6.614,1,0.0301,0.0103,5.35e-06,0.21,0.937,119.03,"polish pop","fast"
"20",2022-12-02 14:33:00,"Mariah Carey","All I Want for Christmas Is You",11.712,2022-12-02 14:32:48,2022-12-02,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,"dance pop","medium"
"21",2022-12-02 14:34:00,"Mariah Carey","All I Want for Christmas Is You",65.322,2022-12-02 14:32:54,2022-12-02,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,"dance pop","medium"
"22",2022-12-02 14:35:00,"Majka Jeżowska","Kochany Panie Mikołaju",55.04,2022-12-02 14:34:04,2022-12-02,0.505,0.571,9,-7.749,1,0.0379,0.789,0,0.0959,0.367,108.079,"polish synthpop","medium"
"23",2022-12-02 14:40:00,"Michael Bublé","Holly Jolly Christmas",119.786,2022-12-02 14:38:00,2022-12-02,0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,"adult standards","medium"
"24",2022-12-02 14:44:00,"Mariah Carey","All I Want for Christmas Is You",241.106,2022-12-02 14:39:58,2022-12-02,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,"dance pop","medium"
"25",2022-12-02 14:47:00,"Bobby Helms","Jingle Bell Rock",130.973,2022-12-02 14:44:49,2022-12-02,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,"adult standards","medium"
"26",2022-12-02 14:49:00,"Brenda Lee","Rockin' Around The Christmas Tree",126.266,2022-12-02 14:46:53,2022-12-02,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"adult standards","medium"
"27",2022-12-02 14:51:00,"Dean Martin","Let It Snow! Let It Snow! Let It Snow!",117.146,2022-12-02 14:49:02,2022-12-02,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,"adult standards","slow"
"28",2022-12-02 14:55:00,"Wham!","Last Christmas",262.96,2022-12-02 14:50:37,2022-12-02,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,"new romantic","medium"
"29",2022-12-02 14:58:00,"Michael Bublé","It's Beginning to Look a Lot like Christmas",206.639,2022-12-02 14:54:33,2022-12-02,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,"adult standards","slow"
"30",2022-12-02 15:01:00,"Andy Williams","It's the Most Wonderful Time of the Year",151.933,2022-12-02 14:58:28,2022-12-02,0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,"adult standards","medium"
"31",2022-12-02 15:04:00,"Frank Sinatra","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",155.453,2022-12-02 15:01:24,2022-12-02,0.652,0.259,2,-13.336,1,0.0595,0.903,0,0.362,0.836,142.169,"adult standards","slow"
"32",2022-12-02 15:07:00,"Shakin' Stevens","Merry Christmas Everyone",220.16,2022-12-02 15:03:19,2022-12-02,0.534,0.904,9,-3.315,1,0.0369,0.129,0,0.128,0.96,202.899,"europop","fast"
"33",2022-12-02 15:11:00,"Ariana Grande","Santa Tell Me",204.093,2022-12-02 15:07:35,2022-12-02,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,"dance pop","medium"
"34",2022-12-02 15:13:00,"Sia","Snowman",165.9,2022-12-02 15:10:14,2022-12-02,0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957,"australian dance","medium"
"35",2022-12-02 15:16:00,"Michael Bublé","Winter Wonderland",149.453,2022-12-02 15:13:30,2022-12-02,0.462,0.474,8,-5.938,1,0.0472,0.643,0,0.0812,0.387,123.648,"adult standards","medium"
"36",2022-12-02 15:19:00,"The Ronettes","Sleigh Ride",181.266,2022-12-02 15:15:58,2022-12-02,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,"adult standards","fast"
"37",2022-12-02 15:21:00,"Bing Crosby","Frosty The Snowman - Remastered 2006",133.413,2022-12-02 15:18:46,2022-12-02,0.519,0.368,7,-11.622,1,0.0796,0.617,0,0.0859,0.854,160.37,"adult standards","medium"
