Date;Device;App;UsageTime;UsageCount
December 10, 2022;HUAWEI STK-LX1;Adblock Browser;1h 31m 43s;4
December 11, 2022;HUAWEI STK-LX2;Adblock Browser;1h 18m 51s;9
December 12, 2022;HUAWEI STK-LX3;Adblock Browser;45m 16s;2
December 13, 2022;HUAWEI STK-LX4;Adblock Browser;40m 34s;2
December 14, 2022;HUAWEI STK-LX5;Adblock Browser;0s;0
December 15, 2022;HUAWEI STK-LX6;Adblock Browser;1h 17m 49s;8
December 16, 2022;HUAWEI STK-LX7;Adblock Browser;21m 22s;1
December 17, 2022;HUAWEI STK-LX8;Adblock Browser;39m 35s;1
December 18, 2022;HUAWEI STK-LX9;Adblock Browser;23m 22s;1
December 19, 2022;HUAWEI STK-LX10;Adblock Browser;1h 44m 54s;37
December 20, 2022;HUAWEI STK-LX11;Adblock Browser;2h 41m 47s;55
December 21, 2022;HUAWEI STK-LX12;Adblock Browser;55m 27s;21
December 22, 2022;HUAWEI STK-LX13;Adblock Browser;3h 6m 59s;28
December 23, 2022;HUAWEI STK-LX14;Adblock Browser;1h 3m 9s;8
December 24, 2022;HUAWEI STK-LX15;Adblock Browser;3h 10m 33s;5
December 25, 2022;HUAWEI STK-LX16;Adblock Browser;44m 34s;4
December 26, 2022;HUAWEI STK-LX17;Adblock Browser;0s;0
December 27, 2022;HUAWEI STK-LX18;Adblock Browser;16m;1
December 28, 2022;HUAWEI STK-LX19;Adblock Browser;0s;0
December 29, 2022;HUAWEI STK-LX20;Adblock Browser;12m 9s;1
December 30, 2022;HUAWEI STK-LX21;Adblock Browser;1m 10s;1
December 31, 2022;HUAWEI STK-LX22;Adblock Browser;12m 18s;1
December 10, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 11, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 12, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 13, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 14, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 15, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 16, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 17, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 18, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 19, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 20, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 21, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 22, 2022;samsung SM-A536B;Adblock Browser;54m 5s;3
December 23, 2022;samsung SM-A536B;Adblock Browser;16m 1s;1
December 24, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 25, 2022;samsung SM-A536B;Adblock Browser;0s;0
December 26, 2022;samsung SM-A536B;Adblock Browser;26m 15s;2
December 27, 2022;samsung SM-A536B;Adblock Browser;39m 40s;2
December 28, 2022;samsung SM-A536B;Adblock Browser;24m;2
December 29, 2022;samsung SM-A536B;Adblock Browser;1h 6m 48s;2
December 30, 2022;samsung SM-A536B;Adblock Browser;26m 39s;3
