endTime,artistName,trackName,msPlayed
2021-12-22 11:55,2WEI,Hurt,44889
2021-12-22 11:57,2WEI,Hurt,126890
2021-12-22 11:59,2WEI,Hurt,86976
2021-12-22 12:03,2WEI,Toxic,237426
2021-12-22 12:07,ZAND,Luci,287427
2021-12-22 12:36,2WEI,Pandora,26493
2021-12-22 12:37,UNSECRET,Last Survivor,11379
2021-12-22 12:38,David Foster,Carol Of The Bells,108859
2021-12-22 12:41,Lindsey Stirling,Carol Of The Bells,166093
2021-12-22 12:43,Pentatonix,Over The River (feat. Lindsey Stirling),108879
2021-12-22 12:46,Pentatonix,"Mary, Did You Know?",203373
2021-12-22 13:00,Pentatonix,Frosty The Snowman (feat. Alessia Cara),109548
2021-12-22 17:58,Ed Sheeran,Perfect,48545
2021-12-22 18:32,Ed Sheeran,Perfect,283383
2021-12-22 18:34,Ed Sheeran,Galway Girl,114648
2021-12-22 19:22,Mariah Carey,Santa Claus Is Comin' to Town,12213
2021-12-22 19:23,Frank Sinatra,Santa Claus Is Coming To Town,51914
2021-12-22 19:24,Michael Bublé,Santa Claus Is Coming to Town,17520
2021-12-22 19:26,Kidsongs,Santa Claus Is Coming To Town,55300
2021-12-22 19:31,Studio Accantus,Cicha noc,9394
2021-12-22 19:31,Shakin' Stevens,Merry Christmas Everyone,220320
2021-12-22 20:08,Arka Noego,CICHA NOC,143340
2021-12-22 20:31,Arka Noego,CICHA NOC,6048
2021-12-23 12:38,Arka Noego,CICHA NOC,11743
2021-12-23 12:38,Arka Noego,CICHA NOC,4184
2021-12-23 12:42,Badflower,Family,247092
2021-12-23 12:46,Katie Garfield,Warfare,222986
2021-12-23 12:50,flora cash,You're Somebody Else,218883
2021-12-23 13:29,grandson,Blood // Water,180234
2021-12-23 16:30,grandson,Blood // Water,38575
2021-12-23 17:20,Night Club,Survive,234054
2021-12-24 13:43,2WEI,Hurt,9067
2021-12-24 13:47,2WEI,Hurt,213840
2021-12-24 13:51,2WEI,Toxic,237426
2021-12-24 13:52,Lana Del Rey,Dark Paradise,22057
2021-12-24 13:52,2WEI,Survivor,23
2021-12-24 13:52,2WEI,Pandora,23
2021-12-24 13:52,ZAND,Luci,64702
2021-12-24 13:52,ZAND,Luci,0
2021-12-24 13:52,2WEI,Toxic,9427
2021-12-24 14:13,Brand X Music,Viper,34528
2021-12-24 19:42,Brand X Music,Viper,13163
2021-12-27 09:42,2WEI,Hurt,213840
2021-12-27 09:46,2WEI,Toxic,237426
2021-12-27 09:47,ZAND,Luci,81978
2021-12-27 09:48,2WEI,Pandora,23
2021-12-27 09:48,ZAND,Luci,40286
2021-12-27 10:10,2WEI,Survivor,136974
2021-12-28 18:39,2WEI,Survivor,195232
2021-12-28 18:43,Lana Del Rey,Dark Paradise,243187
2021-12-28 18:46,Brand X Music,Viper,138112
2021-12-28 18:59,Ludovico Einaudi,Experience,139567
2021-12-29 15:59,Ludovico Einaudi,Experience,20004
2021-12-29 15:59,Piotr Rubik,"Niech mówią, że to nie jest miłość - Live",30232
2021-12-29 16:00,Piotr Rubik,"Niech mówią, że to nie jest miłość - Live",14264
2021-12-29 16:04,Ed Sheeran,Bad Habits,215563
2021-12-29 16:07,Ed Sheeran,Beautiful People (feat. Khalid),197866
2021-12-29 16:30,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),137415
2021-12-29 19:18,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),6767
2021-12-29 19:18,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),9227
2021-12-29 19:21,2WEI,Hurt,213840
2021-12-29 19:25,2WEI,Toxic,237426
2021-12-29 19:27,ZAND,Luci,83125
2021-12-30 07:55,Nothing But Thieves,Futureproof,207691
2021-12-30 08:00,Tommee Profitt,I'm Not Afraid,254500
2021-12-30 08:02,Męskie Granie Orkiestra 2021,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",166489
2021-12-30 08:03,Męskie Granie Orkiestra 2021,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",41569
2021-12-30 08:07,Nothing But Thieves,Can You Afford to Be An Individual?,236047
2021-12-30 08:26,Neoni,UH OH,174288
2021-12-30 15:49,Neoni,UH OH,13523
2021-12-30 15:49,Neoni,UH OH,8363
2021-12-30 15:53,Neoni,MUTINY,211090
2021-12-30 15:57,Neoni,LOSER,202178
2021-12-30 16:00,Nothing But Thieves,If I Were You,208426
2021-12-30 16:20,Badflower,Family,39845
2021-12-30 16:39,grandson,Blood // Water,23
2021-12-30 16:39,Katie Garfield,Warfare,9571
2021-12-30 16:39,Night Club,Survive,23
2021-12-30 16:39,flora cash,You're Somebody Else,2137
2021-12-30 16:39,Badflower,Family,208453
2021-12-30 16:43,grandson,Blood // Water,216720
2021-12-30 17:21,Night Club,Survive,217363
2021-12-31 12:15,Night Club,Survive,10164
2021-12-31 12:18,Night Club,Survive,168537
2021-12-31 12:19,Night Club,Survive,104040
2021-12-31 12:23,Afromental,Return of the Cavemen,231459
2021-12-31 12:27,Tribe Society,Bullet With Butterfly Wings,256293
2021-12-31 12:28,League of Legends,Warriors,50203
2021-12-31 12:33,Afromental,Return of the Cavemen,231459
2021-12-31 12:34,Twenty One Pilots,Doubt,75616
2021-12-31 15:28,Muse,Psycho,322104
2021-12-31 17:21,Muse,Psycho,10177
2021-12-31 17:25,Muse,Time is Running Out,237039
2021-12-31 17:29,Muse,Time is Running Out,237039
2021-12-31 17:34,A Perfect Circle,The Doomed,281626
2021-12-31 17:37,System Of A Down,Chop Suey!,210240
2021-12-31 17:41,Korn,Black Is the Soul,241146
2021-12-31 17:44,Enter Shikari,Anaesthetist,175827
2021-12-31 17:49,Muse,Stockholm Syndrome,297000
2021-12-31 17:53,Badflower,Family,247092
2021-12-31 17:58,Red Hot Chili Peppers,Can't Stop,269000
2021-12-31 18:01,Twenty One Pilots,Heathens,195920
2021-12-31 18:06,Glass Animals,The Other Side Of Paradise,320654
2021-12-31 18:10,Twenty One Pilots,Jumpsuit,238560
2021-12-31 18:14,Korn,Somebody Someone,237040
2021-12-31 18:18,Nothing But Thieves,I'm Not Made by Design,232946
2021-12-31 18:21,Billie Eilish,you should see me in a crown,180952
2021-12-31 18:25,Muse,Thought Contagion,206106
2021-12-31 18:28,Bishop Briggs,Never Tear Us Apart,194826
2021-12-31 18:31,Nothing But Thieves,Forever & Ever More,208133
2021-12-31 18:35,Jane's Addiction,Underground,187746
2021-12-31 18:38,Linkin Park,Numb,185586
2021-12-31 18:43,Red Hot Chili Peppers,Californication,329733
2021-12-31 18:47,Iron Maiden,The Trooper - 2015 Remaster,252733
2021-12-31 18:51,Glass Animals,Take A Slice,229717
2021-12-31 18:55,grandson,Blood // Water,216720
2021-12-31 18:58,System Of A Down,Toxicity,218933
2021-12-31 20:31,Muse,The Handler,93716
2022-01-01 16:06,Foo Fighters,The Pretender,7025
2022-01-01 16:06,Muse,The Handler,294936
2022-01-01 16:10,System Of A Down,Toxicity,218933
2022-01-01 16:10,Foo Fighters,The Pretender,11271
2022-01-01 16:10,Muse,The Handler,20364
2022-01-01 16:14,2WEI,Hurt,213840
2022-01-01 16:28,2WEI,Toxic,144474
2022-01-02 10:03,2WEI,Toxic,82637
2022-01-02 10:06,sanah,Melodia,195966
2022-01-02 10:10,sanah,Szampan,195346
2022-01-02 10:13,sanah,Sama,191271
2022-01-02 10:42,sanah,Piękno tej niechcianej,650
2022-01-02 15:36,Young Leosia,Szklanki,11666
2022-01-02 15:37,Young Leosia,Jungle Girl,2780
2022-01-02 15:37,Oliwka Brazil,Big Mommy,16330
2022-01-02 16:37,Gawryle,Harnaś ice tea,2660
2022-01-02 17:59,Gawryle,Harnaś ice tea,6278
2022-01-02 18:09,Olivia Rodrigo,drivers license,261506
2022-01-02 18:13,Olivia Rodrigo,deja vu,215506
2022-01-02 18:16,Hayd,Changes,214814
2022-01-02 18:20,Ashe,Save Myself,224460
2022-01-02 18:24,Halsey,Sorry,220540
2022-01-02 18:27,Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),203464
2022-01-02 18:38,Sabrina Carpenter,Skin,125771
2022-01-02 18:43,grandson,Blood // Water,216720
2022-01-02 18:48,Night Club,Survive,272575
2022-01-02 19:34,Tribe Society,Bullet With Butterfly Wings,75305
2022-01-04 10:54,Tribe Society,Bullet With Butterfly Wings,13030
2022-01-04 10:59,UNSECRET,Last Survivor,285302
2022-01-04 11:01,UNSECRET,Only The Beginning,90685
2022-01-04 11:04,UNSECRET,Only The Beginning,105589
2022-01-04 11:07,UNSECRET,World Gone Wild,189921
2022-01-04 11:11,Bishop Briggs,Hallowed Ground,174146
2022-01-04 11:13,Alice Merton,No Roots,121420
2022-01-04 11:16,Alice Merton,No Roots,2988
2022-01-04 17:49,Alice Merton,No Roots,33632
2022-01-04 17:53,Alice Merton,No Roots,233296
2022-01-04 17:58,Archive,Remains Of Nothing - Version / BOKKA Remix,238666
2022-01-04 18:01,Afromental,The Bomb,23
2022-01-04 18:01,BOKKA,In Love With the Dead Man,15065
2022-01-04 18:01,Twenty One Pilots,Doubt,720
2022-01-04 18:01,Afromental,Return of the Cavemen,23
2022-01-04 18:01,Duncan Laurence,Arcade,185146
2022-01-04 18:05,Renata Przemyk,Kochana,259666
2022-01-04 18:06,Aya RL,Unikaj zdjęć,15421
2022-01-04 18:09,Lao Che,Govindam,4711
2022-01-04 18:09,Twenty One Pilots,Heathens,195920
2022-01-04 19:29,2WEI,Hurt,238797
2022-01-04 19:33,2WEI,Toxic,237426
2022-01-04 19:40,ZAND,Luci,421787
2022-01-04 19:44,2WEI,Pandora,221757
2022-01-04 19:47,2WEI,Survivor,195232
2022-01-04 19:51,Lana Del Rey,Dark Paradise,243187
2022-01-04 19:54,Brand X Music,Viper,138112
2022-01-04 19:56,Ludovico Einaudi,Experience,140846
2022-01-04 19:59,Seven Dead Stars,Keep Running,180784
2022-01-04 20:03,Tymek,Ostatni (Rojst '97 | Netflix),219546
2022-01-04 20:06,The Black Keys,Lonely Boy,193653
2022-01-04 20:10,Tommee Profitt,In The End - Mellen Gi Remix,218188
2022-01-04 20:13,Nothing But Thieves,Futureproof,207691
2022-01-04 20:17,Tommee Profitt,I'm Not Afraid,254500
2022-01-04 20:21,Męskie Granie Orkiestra 2021,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",209655
2022-01-04 20:34,Nothing But Thieves,Can You Afford to Be An Individual?,108462
2022-01-05 06:21,Nothing But Thieves,Can You Afford to Be An Individual?,7905
2022-01-05 06:23,Nothing But Thieves,Can You Afford to Be An Individual?,119616
2022-01-05 06:25,Neoni,UH OH,111959
2022-01-05 06:29,Afromental,Return of the Cavemen,231459
2022-01-05 06:40,grandson,Blood // Water,216720
