"","artistName","trackName","month","day_or_night","times","total_played"
"1","2WEI","Boom Boom",1,"day",1,2.8831
"2","2WEI","Burn",1,"day",1,3.3601
"3","2WEI","Burn",1,"night",1,2.11473333333333
"4","2WEI","Burn",5,"day",1,3.3601
"5","2WEI","Circles",1,"day",1,3.21376666666667
"6","2WEI","Code Red",1,"day",1,2.93666666666667
"7","2WEI","Fire Hunt",1,"day",1,3.57021666666667
"8","2WEI","Gangsta's Paradise",1,"day",5,13.9750833333333
"9","2WEI","Gangsta's Paradise",1,"night",3,7.32325000000001
"10","2WEI","Gangsta's Paradise",2,"day",4,11.1800666666667
"11","2WEI","Gangsta's Paradise",3,"night",1,2.79501666666667
"12","2WEI","Gangsta's Paradise",4,"day",9,24.9170833333334
"13","2WEI","Gangsta's Paradise",4,"night",8,20.71725
"14","2WEI","Gangsta's Paradise",5,"day",4,8.20020000000001
"15","2WEI","Gangsta's Paradise",5,"night",2,5.59003333333334
"16","2WEI","Gangsta's Paradise",6,"day",3,6.15118333333334
"17","2WEI","Gangsta's Paradise",8,"night",1,2.79501666666667
"18","2WEI","Gangsta's Paradise",9,"day",2,5.59003333333334
"19","2WEI","Gangsta's Paradise",9,"night",2,5.59003333333334
"20","2WEI","Gangsta's Paradise",12,"day",3,8.38505000000001
"21","2WEI","Gangsta's Paradise",12,"night",1,2.79501666666667
"22","2WEI","Hit The Road Jack",1,"day",1,3.52
"23","2WEI","Hit The Road Jack",1,"night",1,3.52
"24","2WEI","Hurt",1,"day",11,39.61995
"25","2WEI","Hurt",1,"night",1,3.564
"26","2WEI","Hurt",2,"day",4,14.256
"27","2WEI","Hurt",3,"night",1,3.564
"28","2WEI","Hurt",4,"day",8,25.5802
"29","2WEI","Hurt",4,"night",7,24.948
"30","2WEI","Hurt",5,"day",2,7.128
"31","2WEI","Hurt",5,"night",2,6.38563333333333
"32","2WEI","Hurt",6,"day",3,9.76306666666667
"33","2WEI","Hurt",8,"night",1,2.40273333333333
"34","2WEI","Hurt",9,"day",2,7.128
"35","2WEI","Hurt",9,"night",2,7.128
"36","2WEI","Hurt",12,"day",10,27.4597833333333
"37","2WEI","Hurt",12,"night",1,3.564
"38","2WEI","Morrow's Light",1,"day",1,3.20133333333333
"39","2WEI","Pandora",1,"day",8,29.5676
"40","2WEI","Pandora",1,"night",2,7.3919
"41","2WEI","Pandora",2,"day",2,7.3919
"42","2WEI","Pandora",3,"day",1,1.81343333333333
"43","2WEI","Pandora",3,"night",1,3.69595
"44","2WEI","Pandora",4,"day",4,13.43495
"45","2WEI","Pandora",4,"night",5,15.3542333333333
"46","2WEI","Pandora",5,"day",2,7.3919
"47","2WEI","Pandora",6,"day",2,4.22843333333333
"48","2WEI","Pandora",9,"day",2,7.3919
"49","2WEI","Pandora",9,"night",2,7.3919
"50","2WEI","Pandora",12,"day",1,3.69595
"51","2WEI","Pandora",12,"night",1,3.69595
"52","2WEI","Quantum Gate",1,"day",1,3.24555
"53","2WEI","Run Baby Run",1,"day",1,2.94755
"54","2WEI","Survivor",1,"day",13,35.8101666666667
"55","2WEI","Survivor",1,"night",1,3.25386666666667
"56","2WEI","Survivor",2,"day",2,5.8077
"57","2WEI","Survivor",3,"day",2,6.50773333333334
"58","2WEI","Survivor",3,"night",6,19.5232
"59","2WEI","Survivor",4,"day",4,11.85975
"60","2WEI","Survivor",4,"night",4,13.0154666666667
"61","2WEI","Survivor",5,"day",5,16.2693333333333
"62","2WEI","Survivor",6,"day",2,6.50773333333334
"63","2WEI","Survivor",6,"night",1,3.25386666666667
"64","2WEI","Survivor",9,"day",1,3.25386666666667
"65","2WEI","Survivor",9,"night",3,9.45136666666667
"66","2WEI","Survivor",12,"day",4,12.0445
"67","2WEI","Survivor",12,"night",1,3.25386666666667
"68","2WEI","The New Apprentice",1,"day",1,3.42221666666667
"69","2WEI","Toxic",1,"day",16,50.7224833333333
"70","2WEI","Toxic",1,"night",2,10.2519166666667
"71","2WEI","Toxic",2,"day",4,13.1874833333333
"72","2WEI","Toxic",3,"day",1,2.95233333333333
"73","2WEI","Toxic",3,"night",1,3.9571
"74","2WEI","Toxic",4,"day",6,23.7426
"75","2WEI","Toxic",4,"night",8,31.6568
"76","2WEI","Toxic",5,"day",2,7.9142
"77","2WEI","Toxic",5,"night",2,6.31528333333333
"78","2WEI","Toxic",6,"day",3,11.8713
