"genres","count"
"modern rock",333
"permanent wave",104
"rock",385
"bossbeat",48
"rebel blues",48
"alternative pop rock",47
"modern alternative rock",134
"epicore",46
"alternative metal",201
"funk metal",95
"nu metal",176
"rap metal",129
"alternative rock",135
"brighton indie",42
"garage rock",42
"modern blues rock",42
"modern hard rock",42
"gauze pop",41
"indietronica",41
"shiver pop",41
"polish pop",48
"alt z",77
"pop",118
"electropop",69
"indie poptimism",37
"metropopolis",37
"polish alternative",62
"polish alternative rock",36
"polish reggae",36
"post-grunge",65
"downtempo",34
"electronica",79
"trip hop",79
"nintendocore",32
"trancecore",32
"uk metalcore",32
"uk post-hardcore",32
"funk rock",37
"bow pop",30
"pop violin",30
"art pop",29
"polish electronica",26
"polish indie",26
"cyberpunk",25
"electronic rock",25
"industrial",25
"industrial metal",25
"industrial rock",25
"slap house",24
"traprun",24
"christian alternative rock",23
"christian music",23
"christian rock",23
"metalcore",22
"screamo",22
"anthem worship",21
"polish alternative rap",20
"polish hip hop",39
"k-pop",19
"k-pop boy group",19
"detroit hip hop",18
"hip hop",35
"rap",35
"chicano rap",17
"gangster rap",17
"hardcore hip hop",17
"rap rock",52
"west coast rap",17
"supergroup",16
"dance rock",15
"new romantic",15
"new wave",15
"synthpop",15
"dark pop",14
"escape room",14
"viral rap",14
"conscious hip hop",13
"political hip hop",13
"big beat",12
"ninja",12
"nu jazz",12
"uk pop",11
"polish trap",19
"blues rock",6
"grunge",6
"pop rock",6
"a cappella",5
"hard rock",4
"metal",4
"old school thrash",4
"thrash metal",4
